Catalog No,Box Number,Collection,Collector/Creator,Taxon/Item,Acquisition/Donar,Date Collected,Locality,Location,State,Country,Specimen Count,Specimen Nature,Database
CMNMA 12464,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12464 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12465,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12465 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12466,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12466 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12467,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12467 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12468,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12468 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 18927,,Mammal,"Anderson, Rudolph M.","Ovibos moschatus Zimmerman, 1780",,,,"CMNMA 18927 | Anderson-SPR 1915 | Haningayok, S. of Arctic Sound",,,1,study skin,
CMNMA 18928,,Mammal,"Anderson, Rudolph M.","Ovibos moschatus Zimmerman, 1780",,,,"CMNMA 18928 | Anderson-SUM 1915 | Haningayok, S. of Arctic Sound",,,1,study skin,
CMNMA 18929,,Mammal,"Anderson, Rudolph M.",Ursus,,,,"CMNMA 18929 | Anderson-FAL 1915 | Haningayok, S. of Arctic Sound",,,1,tanned skin,
CMNMA 2389,,Mammal,"Anderson, Rudolph M.",Myodes rutilus dawsoni,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2389 | Anderson-3 AUG 1913 | Teller,,,1,"study skin, skeleton, skull-complete",
CMNMA 2390,,Mammal,"Anderson, Rudolph M.",Spermophilus parryii ablusus,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2390 | Anderson-4 AUG 1913 | Teller,,,1,"study skin, skeleton, skull-complete",
CMNMA 2391,,Mammal,"Anderson, Rudolph M.",Microtus oeconomus operarius,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2391 | Anderson-6 AUG 1913 | Teller,,,1,"study skin, skeleton, skull-complete",
CMNMA 2392,,Mammal,"Anderson, Rudolph M.",Microtus oeconomus operarius,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2392 | Anderson-6 AUG 1913 | Teller,,,1,"study skin, skeleton, skull-complete",
CMNMA 2393,,Mammal,"Anderson, Rudolph M.",Spermophilus parryii ablusus,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2393 | Anderson-7 AUG 1913 | Teller,,,1,"study skin, skeleton, skull-complete",
CMNMA 2394,,Mammal,"Anderson, Rudolph M.",Spermophilus parryii parryii,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2394 | Anderson-9 SEP 1913 | Collinson Point,,,1,"study skin, skeleton, skull-complete",
CMNMA 2395,,Mammal,"Anderson, Rudolph M.",Spermophilus parryii parryii,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2395 | Anderson-15 SEP 1913 | Hula Hula River,,,1,study skin,
CMNMA 2396,,Mammal,"Anderson, Rudolph M.",Spermophilus parryii parryii,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2396 | Anderson-15 SEP 1913 | Hula Hula River,,,1,study skin,
CMNMA 2397,,Mammal,"Anderson, Rudolph M.",Spermophilus parryii parryii,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2397 | Anderson-15 SEP 1913 | Sadlerochit River,,,1,"study skin, skeleton, skull-complete",
CMNMA 2398,,Mammal,"Anderson, Rudolph M.",Spermophilus parryii parryii,[1914-050] Canadian Arctic Expedition:donor (staff field trip),,,CMNMA 2398 | Anderson-17 SEP 1913 | Sadlerochit River,,,1,"study skin, skeleton, skull-complete",
