Catalog No,Box Number,Collection,Collector/Creator,Taxon/Item,Acquisition/Donar,Date Collected,Locality,Location,State,Country,Specimen Count,Specimen Nature,Database
CMNC 2003-1867,,Crustacea,"Johansen, Frits",Rozinante fragilis,Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNC 2003-1879,,Crustacea,"Johansen, Frits",Rozinante fragilis,Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNC 2003-1976,,Crustacea,"Johansen, Frits","Rhachotropis aculeata (Lepechin, 1780)",Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNC 2004-0022,,Crustacea,"Johansen, Frits","Halirages nilssoni Ohlin, 1895",Canadian Arctic Expedition,,Outer Harbour,Dolphin and Union Strait,,,2,fluid,Specimen
CMNC 2004-1106,,Crustacea,"Johansen, Frits","Acanthostepheia behringiensis (Lockington, 1877)",Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,2,fluid,Specimen
CMNC 2004-1107,,Crustacea,"Johansen, Frits Canadian Arctic Expedition, Northern Party","Acanthostepheia behringiensis (Lockington, 1877)",Canadian Arctic Expedition,,Outer Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNC 2004-1108,,Crustacea,"Johansen, Frits","Acanthostepheia behringiensis (Lockington, 1877)",Canadian Arctic Expedition,,Inner Harbour,Dolphin and Union Strait,,,2,fluid,Specimen
CMNC 2004-1109,,Crustacea,"Johansen, Frits","Acanthostepheia behringiensis (Lockington, 1877)",Canadian Arctic Expedition,,Inner Harbour,Dolphin and Union Strait,,,2,fluid,Specimen
CMNC 2004-1111,,Crustacea,"Johansen, Frits","Acanthostepheia behringiensis (Lockington, 1877)",Canadian Arctic Expedition,,Plover Island,,,,4,fluid,Specimen
CMNC 2004-1112,,Crustacea,"Johansen, Frits","Acanthostepheia behringiensis (Lockington, 1877)",Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNC 2004-1113,,Crustacea,"Johansen, Frits","Acanthostepheia behringiensis (Lockington, 1877)",Canadian Arctic Expedition,,"Camden Bay, Simpson Cove",Beaufort Sea,,,9,fluid,Specimen
CMNC 2004-1114,,Crustacea,"Johansen, Frits","Acanthostepheia behringiensis (Lockington, 1877)",Canadian Arctic Expedition,,Lagoon,,,,1,fluid,Specimen
CMNC 2004-1178,,Crustacea,"Johansen, Frits","Acanthostepheia malmgreni (Goës, 1866)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,1,fluid,Specimen
CMNC 2004-1235,,Crustacea,"Johansen, Frits","Paroediceros lynceus (M. Sars, 1858)",Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNC 2004-1498,,Crustacea,"Johansen, Frits","Rostroculodes longirostris (Goës, 1866)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,1,fluid,Specimen
CMNC 2004-1499,,Crustacea,"Johansen, Frits",Monoculopsis longicornis (Boeck 1871),Canadian Arctic Expedition,,Inner Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNC 2004-1521,,Crustacea,"Johansen, Frits","Rostroculodes schneideri (G.O. Sars, 1895)",Canadian Arctic Expedition,,Point Barrow,Cape Smyth,,,1,fluid,Specimen
CMNC 2004-1566,,Crustacea,"Johansen, Frits","Monoculodes Stimpson, 1853",Canadian Arctic Expedition,,Inner Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNC 2004-1567,,Crustacea,"Johansen, Frits","Monoculodes Stimpson, 1853",Canadian Arctic Expedition,,Inner Harbour,,,,3,fluid,Specimen
CMNC 2004-2163,,Crustacea,"Johansen, Frits","Aceroides (Aceroides (aceroides)) latipes (Sars, 1883)",Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNC 2004-2164,,Crustacea,"Johansen, Frits","Aceroides (Aceroides (aceroides)) latipes (Sars, 1883)",Canadian Arctic Expedition,,"Camden Bay, Simpson Cove",Beaufort Sea,,,1,fluid,Specimen
CMNC 2004-2188,,Crustacea,"Johansen, Frits","Arrhis phyllonyx (Sars, 1858)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,1,fluid,Specimen
CMNC 2004-2380,,Crustacea,"Johansen, Frits","Pontoporeia Krøyer, 1842",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,1,fluid,Specimen
CMNC 2004-2406,,Crustacea,"Johansen, Frits","Onisimus Boeck, 1871",Canadian Arctic Expedition,,Inner Harbour,Dolphin and Union Strait,,,2,fluid,Specimen
CMNC 2004-2473,,Crustacea,"Johansen, Frits",Hippomedon columbianus,Canadian Arctic Expedition,,Walker Seamount,,,,1,fluid,Specimen
CMNC 2004-2505,,Crustacea,"Johansen, Frits",Hippomedon holbolli,Canadian Arctic Expedition,,,,,,40,fluid,Specimen
CMNC 2004-3158,,Crustacea,"Johansen, Frits","Lebbeus groenlandicus (Fabricius, 1775)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,1,fluid,Specimen
CMNC 2004-3265,,Crustacea,"Johansen, Frits","Eualus belcheri (Bell, 1855)",Canadian Arctic Expedition,,Blossom Shoals,,,,3,fluid,Specimen
CMNC 2004-3278,,Crustacea,"Johansen, Frits","Eualus belcheri (Bell, 1855)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,1,fluid,Specimen
CMNC 2004-3538,,Crustacea,"Johansen, Frits","Eualus fabricii (Krøyer, 1841)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,12,fluid,Specimen
CMNC 2004-3539,,Crustacea,"Johansen, Frits","Eualus fabricii (Krøyer, 1841)",Canadian Arctic Expedition,,Naokok,Chukchi Sea,,,2,fluid,Specimen
CMNC 2004-3927,,Crustacea,"Johansen, Frits","Sabinea septemcarinata (Sabine, 1824)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,5,fluid,Specimen
CMNC 2004-3942,,Crustacea,"Johansen, Frits","Sabinea septemcarinata (Sabine, 1824)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,4,fluid,Specimen
CMNC 2004-3945,,Crustacea,"Johansen, Frits","Sabinea septemcarinata (Sabine, 1824)",Canadian Arctic Expedition,,,,,,4,fluid,Specimen
CMNC 2004-3952,,Crustacea,"Johansen, Frits","Sabinea septemcarinata (Sabine, 1824)",Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNC 2004-3954,,Crustacea,"Johansen, Frits","Sabinea septemcarinata (Sabine, 1824)",Canadian Arctic Expedition,,Inner Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNC 2004-3958,,Crustacea,"Johansen, Frits","Sabinea septemcarinata (Sabine, 1824)",Canadian Arctic Expedition,,Cockburn Point,,,,2,fluid,Specimen
CMNC 2004-4140,,Crustacea,"Johansen, Frits",Crangon septemspinosa,Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,fluid,Specimen
CMNC 2004-4174,,Crustacea,"Johansen, Frits",Argis lar,Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,fluid,Specimen
CMNC 2004-4175,,Crustacea,"Johansen, Frits",Argis lar,Canadian Arctic Expedition,,Naokok,Chukchi Sea,,,2,fluid,Specimen
CMNC 2004-4365,,Crustacea,"Johansen, Frits","Pagurus Fabricius, 1775",Canadian Arctic Expedition,,Corwin Bluff,Chukchi Sea,,,1,fluid,Specimen
CMNC 2004-4634,,Crustacea,"Johansen, Frits","Sclerocrangon boreas (Phipps, 1774)",Canadian Arctic Expedition,,Inner Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNC 2004-4635,,Crustacea,"Johansen, Frits","Sclerocrangon boreas (Phipps, 1774)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,1,fluid,Specimen
CMNC 2004-4638,,Crustacea,"Johansen, Frits","Sclerocrangon boreas (Phipps, 1774)",Canadian Arctic Expedition,,Naokok,Chukchi Sea,,,15,fluid,Specimen
CMNC 2004-4667,,Crustacea,"Johansen, Frits","Sclerocrangon boreas (Phipps, 1774)",Canadian Arctic Expedition,,Dolphin and Union Strait,,,,1,fluid,Specimen
CMNC 2004-4668,,Crustacea,"Johansen, Frits","Sclerocrangon boreas (Phipps, 1774)",Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNC 2004-4669,,Crustacea,"Johansen, Frits","Sclerocrangon boreas (Phipps, 1774)",Canadian Arctic Expedition,,Blossom Shoals,,,,1,fluid,Specimen
CMNC 2004-4856,,Crustacea,"Johansen, Frits","Paralithodes camtschaticus (Tilesius, 1815)",Canadian Arctic Expedition,,"Point Barrow, Muir Channel",Beaufort Sea,,,1,fluid,Specimen
CMNC 2004-4884,,Crustacea,"Johansen, Frits","Labidochirus splendescens (Owen, 1839)",Canadian Arctic Expedition,,Blossom Shoals,,,,1,fluid,Specimen
CMNC 2004-5198,,Crustacea,"Johansen, Frits",Chionoecetes opilio,Canadian Arctic Expedition,,Blossom Shoals,,,,3,fluid,Specimen
CMNC 2004-5333,,Crustacea,"Johansen, Frits","Pagurus capillatus (Benedict, 1892)",Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,fluid,Specimen
CMNC 2004-5344,,Crustacea,"Johansen, Frits","Pagurus brandti (Benedict, 1892)",Canadian Arctic Expedition,,"Nome, Norton Sound",Bering Sea,,,1,fluid,Specimen
CMNC 2004-5466,,Crustacea,"Johansen, Frits",Telmessus cheiragonus,Canadian Arctic Expedition,,Beach,Bering Strait,,,1,fluid,Specimen
CMNC 2004-5500,,Crustacea,"Johansen, Frits",Hyas coarctatus,Canadian Arctic Expedition,,Gulf of Alaska,,,,16,fluid,Specimen
CMNC 2004-5501,,Crustacea,"Johansen, Frits",Hyas coarctatus,Canadian Arctic Expedition,,Corwin Bluff,Chukchi Sea,,,1,fluid,Specimen
CMNC 2004-5502,,Crustacea,"Johansen, Frits",Hyas coarctatus,Canadian Arctic Expedition,,Gulf of Alaska,,,,10,fluid,Specimen
CMNC 2004-5504,,Crustacea,"Johansen, Frits",Hyas coarctatus,Canadian Arctic Expedition,,Gulf of Alaska,,,,3,fluid,Specimen
CMNC 2004-5505,,Crustacea,"Johansen, Frits",Hyas coarctatus,Canadian Arctic Expedition,,Plover Island,,,,3,fluid,Specimen
CMNC 2004-5509,,Crustacea,"Johansen, Frits",Hyas coarctatus,Canadian Arctic Expedition,,Corwin Bluff,Chukchi Sea,,,12,fluid,Specimen
CMNC 2004-5513,,Crustacea,"Johansen, Frits",Hyas coarctatus,Canadian Arctic Expedition,,Blossom Shoals,,,,8,fluid,Specimen
CMNC 2004-5682,,Crustacea,"Johansen, Frits",Telmessus cheiragonus,Canadian Arctic Expedition,,Grantley Harbor,,,,6,dry,Specimen
CMNC 2004-5685,,Crustacea,"Johansen, Frits",Telmessus cheiragonus,Canadian Arctic Expedition,,Beach,Bering Strait,,,1,fluid,Specimen
CMNC 2004-6021,,Crustacea,"Johansen, Frits",Metacarcinus magister,Canadian Arctic Expedition,,Beach,Orca Inlet,,,1,dry,Specimen
CMNC 2006-0014,,Crustacea,"Anderson, Rudolph M.","Priscillina (Priscillina shoemakeri) Bousfield, MS",Canadian Arctic Expedition,,Bathurst Inlet,,,,1,fluid; slide,Specimen
CMNC 2007-0410,,Crustacea,"Johansen, Frits",Ampithoe kussakini,Canadian Arctic Expedition,,Grantley Harbor,,,,10,fluid,Specimen
CMNC 2007-0434,,Crustacea,"Johansen, Frits",Ampithoe kussakini,Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,fluid,Specimen
CMNC 2007-0756,,Crustacea,"Johansen, Frits",Ampithoe (Ampithoe (ampithoe)) rubricata,Canadian Arctic Expedition,,"Port Clarence, Grantley Harbor",Bering Strait,,,1,fluid,Specimen
CMNC 2007-0757,,Crustacea,"Johansen, Frits",Ampithoe (Ampithoe (ampithoe)) rubricata,Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNI 1900-0334,,General Invertebrate,"Johansen, Frits","Polymastia grimaldii (Topsent, 1913)",Canadian Arctic Expedition,,Cockburn Point,,,,1,fluid,Specimen
CMNI 1900-0599,,General Invertebrate,"Johansen, Frits",Parasmittina trispinosa (Johnston 1938),Canadian Arctic Expedition,,Blossom Shoals,,,,1,dry,Specimen
CMNI 1900-1007,,General Invertebrate,"Johansen, Frits",Aeginopsis laurentii Brandt 1838,Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNI 1900-1008,,General Invertebrate,"Johansen, Frits",Aeginopsis laurentii Brandt 1838,Canadian Arctic Expedition,,"Camden Bay, Collinson Point",Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1108,,General Invertebrate,"Johansen, Frits",Sarsia flammea (Linko,Canadian Arctic Expedition,,Point Barrow,Cape Smyth,,,1,fluid,Specimen
CMNI 1900-1109,,General Invertebrate,"Johansen, Frits",Sarsia flammea (Linko,Canadian Arctic Expedition,,"Lagoon, Camden Bay",Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1110,,General Invertebrate,"Johansen, Frits",Sarsia princeps (Haeckel 1879),Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNI 1900-1111,,General Invertebrate,"Johansen, Frits",Sarsia princeps (Haeckel 1879),Canadian Arctic Expedition,,"Lagoon, Camden Bay",Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1112,,General Invertebrate,"Johansen, Frits",Sarsia princeps (Haeckel 1879),Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1113,,General Invertebrate,"Johansen, Frits",Sarsia princeps (Haeckel 1879),Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1264,,General Invertebrate,"Johansen, Frits",Rathkea octopunctata (Rathke 1835),Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNI 1900-1265,,General Invertebrate,"Johansen, Frits",Rathkea octopunctata (Rathke 1835),Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNI 1900-1362,,General Invertebrate,"Johansen, Frits",Aglantha digitale (O.F. Muller 1776),Canadian Arctic Expedition,,Point Hope,Chukchi Sea,,,1,fluid,Specimen
CMNI 1900-1392,,General Invertebrate,"Johansen, Frits Jenness, Diamond",Cyanea,Canadian Arctic Expedition,,Beaufort Sea,,,,1,fluid,Specimen
CMNI 1900-1399,,General Invertebrate,"Johansen, Frits",Cyanea capillata (Linnaeus 1758),Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,fluid,Specimen
CMNI 1900-1401,,General Invertebrate,"Johansen, Frits",Cyanea capillata (Linnaeus 1758),Canadian Arctic Expedition,,Point Barrow,Cape Smyth,,,1,fluid,Specimen
CMNI 1900-1403,,General Invertebrate,"Johansen, Frits",Cyanea arctica Peron & Lesueur,Canadian Arctic Expedition,,Inner Harbor,Dolphin and Union Strait,,,1,fluid,Specimen
CMNI 1900-1416,,General Invertebrate,"Johansen, Frits",Haliclystus stejnegeri Kishinouye 1899,Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,fluid,Specimen
CMNI 1900-1417,,General Invertebrate,"Johansen, Frits",Halitholus cirratus Hartlaub 1913,Canadian Arctic Expedition,,"Camden Bay, Simpson Cove",Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1418,,General Invertebrate,"Johansen, Frits",Halitholus cirratus Hartlaub 1913,Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1419,,General Invertebrate,"Johansen, Frits",Halitholus cirratus Hartlaub 1913,Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1420,,General Invertebrate,"Johansen, Frits",Halitholus cirratus Hartlaub 1913,Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-1434,,General Invertebrate,"Johansen, Frits",Aeginopsis laurentii Brandt 1838,Canadian Arctic Expedition,,,,,,1,fluid,Specimen
CMNI 1900-1435,,General Invertebrate,"Johansen, Frits",Eperetmus typus Bigelow 1915,Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,fluid,Specimen
CMNI 1900-1443,,General Invertebrate,"Johansen, Frits",Actinia,Canadian Arctic Expedition,,Cape Lyon,,,,1,fluid,Specimen
CMNI 1900-2509,,General Invertebrate,"Johansen, Frits",Cerianthus borealis Verrill 1873,Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-2575,,General Invertebrate,"Johansen, Frits",Gersemia rubiformis (Ehrenberg 1834),Canadian Arctic Expedition,,"Point Barrow, Muir Channel",Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-2581,,General Invertebrate,"Johansen, Frits O'Neill, J.J.",Gersemia rubiformis (Ehrenberg 1834),Canadian Arctic Expedition,,Coronation Gulf,,,,1,fluid,Specimen
CMNI 1900-2588,,General Invertebrate,"Johansen, Frits",Gersemia rubiformis (Ehrenberg 1834),Canadian Arctic Expedition,,Blossom Shoals,,,,1,fluid,Specimen
CMNI 1900-2607,,General Invertebrate,"Johansen, Frits",Gersemia rubiformis (Ehrenberg 1834),Canadian Arctic Expedition,,Coronation Gulf,,,,1,fluid,Specimen
CMNI 1900-2608,,General Invertebrate,"Johansen, Frits",Gersemia rubiformis (Ehrenberg 1834),Canadian Arctic Expedition,,"Point Barrow, Muir Channel",Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-2636,,General Invertebrate,"Johansen, Frits",Gersemia rubiformis (Ehrenberg 1834),Canadian Arctic Expedition,,Grantley Harbor,,,,1,fluid,Specimen
CMNI 1900-2654,,General Invertebrate,"Johansen, Frits",Gersemia rubiformis (Ehrenberg 1834),Canadian Arctic Expedition,,"Camden Bay, Simpson Cove",Beaufort Sea,,,1,fluid,Specimen
CMNI 1900-2733,,General Invertebrate,"Johansen, Frits",Metridium senile (Linnaeus 1767),Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,fluid,Specimen
CMNI 1900-2734,,General Invertebrate,"Johansen, Frits",Metridium senile (Linnaeus 1767),Canadian Arctic Expedition,,Outer Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNI 1900-2899,,General Invertebrate,"Johansen, Frits",Eumedusa similis Bigelow 1920,Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNI 1989-0171,,General Invertebrate,"Johansen, Frits",Ascidia prunum Muller 1776,Canadian Arctic Expedition,,Outer Harbour,Dolphin and Union Strait,,,3,fluid,Specimen
CMNI 1989-0204,,General Invertebrate,"Johansen, Frits",Chelyosoma macleayanum Broderip & Sowerby 1830,Canadian Arctic Expedition,,Blossom Shoals,Arctic Ocean,,,1,fluid,Specimen
CMNI 1989-0218,,General Invertebrate,"Johansen, Frits",Didemnum albidum (Verrill 1871),Canadian Arctic Expedition,,Blossom Shoals,Arctic Ocean,,,1,fluid,Specimen
CMNI 1989-0232,,General Invertebrate,"Johansen, Frits",Molgula griffithsii (MacLeay 1825),Canadian Arctic Expedition,,Inner Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNI 1989-0233,,General Invertebrate,"Johansen, Frits",Molgula griffithsii (MacLeay 1825),Canadian Arctic Expedition,,Outer Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNI 1989-0234,,General Invertebrate,"Johansen, Frits",Molgula griffithsii (MacLeay 1825),Canadian Arctic Expedition,,Blossom Shoals,Arctic Ocean,,,1,fluid,Specimen
CMNI 1989-0235,,General Invertebrate,"Johansen, Frits",Molgula griffithsii (MacLeay 1825),Canadian Arctic Expedition,,Cockburn Point,,,,1,fluid,Specimen
CMNI 1989-0236,,General Invertebrate,"Johansen, Frits",Rhizomolgula globularis (Pallas 1776),Canadian Arctic Expedition,,Dolphin and Union Strat,,,,1,fluid,Specimen
CMNI 1989-0237,,General Invertebrate,"Johansen, Frits",Rhizomolgula globularis (Pallas 1776),Canadian Arctic Expedition,,Outer Harbour,Dolphin and Union Strait,,,1,fluid,Specimen
CMNI 1989-0238,,General Invertebrate,"Johansen, Frits",Rhizomolgula globularis (Pallas 1776),Canadian Arctic Expedition,,Grantley Harbor,,,,1,fluid,Specimen
CMNI 1989-0239,,General Invertebrate,"Johansen, Frits",Rhizomolgula globularis (Pallas 1776),Canadian Arctic Expedition,,Corwin Bluff,Chukchi Sea,,,1,fluid,Specimen
CMNI 1989-0240,,General Invertebrate,"Johansen, Frits",Rhizomolgula globularis (Pallas 1776),Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,,,1,fluid,Specimen
CMNI 1989-0261,,General Invertebrate,"Johansen, Frits",Boltenia echinata (Linnaeus 1767),Canadian Arctic Expedition,,Blossom Shoals,Beaufort Sea,,,1,fluid,Specimen
CMNI 1989-0706,,General Invertebrate,"Johansen, Frits",Axinella variabilis,Canadian Arctic Expedition,,Spy Island,Thetis Island,,,1,dry,Specimen
CMNI 1989-0707,,General Invertebrate,"Johansen, Frits",Axinella variabilis,Canadian Arctic Expedition,,Collinson Point,Camden Bay,,,1,dry,Specimen
CMNI 1989-0708,,General Invertebrate,"Johansen, Frits",Axinella variabilis,Canadian Arctic Expedition,,"Point Barrow, Muir Channel",Beaufort Sea,,,1,dry,Specimen
CMNI 1989-0709,,General Invertebrate,"Johansen, Frits",Axinella variabilis,Canadian Arctic Expedition,,"Point Barrow, Muir Channel",Beaufort Sea,,,1,dry,Specimen
CMNI 1989-0710,,General Invertebrate,"Johansen, Frits",Axinella variabilis,Canadian Arctic Expedition,,"Point Barrow, Muir Channel",Beaufort Sea,,,1,dry,Specimen
CMNI 1989-0818,,General Invertebrate,"Johansen, Frits",Asterias amurensis Lutken 1835,Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,dry,Specimen
CMNI 1989-0861,,General Invertebrate,"Johansen, Frits",Leptasterias groenlandica (Steenstrup 1857),Canadian Arctic Expedition,,Outer Harbour,Dolphin and Union Strait,,,1,dry,Specimen
CMNI 1989-0862,,General Invertebrate,"Johansen, Frits",Leptasterias groenlandica (Steenstrup 1857),Canadian Arctic Expedition,,Dolphin and Union Strat,Dolphin and Union Strait,,,1,dry,Specimen
CMNI 1989-0864,,General Invertebrate,"Johansen, Frits",Leptasterias arctica (Murdoch 1885),Canadian Arctic Expedition,,Naokok ,Chukchi Sea,,,1,dry,Specimen
CMNI 1989-0865,,General Invertebrate,"Johansen, Frits",Leptasterias arctica (Murdoch 1885),Canadian Arctic Expedition,,Dolphin and Union Strat,,,,1,dry,Specimen
CMNI 1989-0866,,General Invertebrate,"Johansen, Frits",Leptasterias dispar,Canadian Arctic Expedition,,Dolphin and Union Strat,,,,1,dry,Specimen
CMNI 1989-0895,,General Invertebrate,"Johansen, Frits",Leptasterias,Canadian Arctic Expedition,,Blossom Shoals,,,,1,dry,Specimen
CMNI 1989-0931,,General Invertebrate,"Johansen, Frits",Stenasterias macropora (Verrill 1909),Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,dry,Specimen
CMNI 1989-0946,,General Invertebrate,"Johansen, Frits",Urasterias lincki (Muller & Troschel 1842),Canadian Arctic Expedition,,Dolphin and Union Strat,,,,1,dry,Specimen
CMNI 1989-1117,,General Invertebrate,"Johansen, Frits",Strongylocentrotus droebachiensis (Muller 1776),Canadian Arctic Expedition,,Grantley Harbor,Bering Strait,,,1,dry,Specimen
CMNI 1989-1180,,General Invertebrate,"Johansen, Frits",Strongylocentrotus droebachiensis (Muller 1776),Canadian Arctic Expedition,,Beach,Dolphin and Union Strait,,,1,dry,Specimen
CMNI 1989-1181,,General Invertebrate,"Johansen, Frits",Strongylocentrotus droebachiensis (Muller 1776),Canadian Arctic Expedition,,Outer Harbour,Dolphin and Union Strait,,,1,dry,Specimen
CMNI 1989-1182,,General Invertebrate,"Anderson, Rudolph M.",Strongylocentrotus droebachiensis (Muller 1776),Canadian Arctic Expedition,,Bathurst Inlet,,,,1,dry,Specimen
CMNI 1989-1195,,General Invertebrate,"Johansen, Frits",Strongylocentrotus droebachiensis (Muller 1776),Canadian Arctic Expedition,,Coronation Gulf,,,,1,dry,Specimen
CMNI 1989-1203,,General Invertebrate,"Johansen, Frits",Ophiocten sericeum (Forbes 1852),Canadian Arctic Expedition,,Cockburn Point,,,,1,dry,Specimen
CMNMA 12444,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12445,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12446,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12447,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12448,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12449,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12450,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12451,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12452,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12453,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12454,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12455,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12456,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12457,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12458,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12459,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12460,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12461,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12462,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
CMNMA 12463,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,Canadian Arctic Expedition,,Cape Bathurst,Baillie Island,,,1,study skin,Specimen
